Spanish,English
que,that
de,of
no,No
a,to
la,the
el,he
es,is
y,and
en,in
lo,it
un,a
por,by
qué,that
me,I
una,a
te,tea
los,the
se,HE
con,with
para,for
mi,my
está,this
si,Yeah
bien,good
pero,but
yo,I
eso,that
las,the
sí,Yeah
su,his
tu,you
aquí,here
del,of the
al,to the
como,as
le,you
más,further
esto,this
ya,already
todo,all
esta,this
vamos,come on
muy,very
hay,there is
ahora,now
algo,something
estoy,I'm
tengo,I have
nos,us
tú,you
nada,nothing
cuando,when
ha,ha
este,this
sé,HE
estás,are
así,So
puedo,I can
cómo,as
quiero,wanna
sólo,only
soy,am
tiene,has
gracias,thank you
o,either
él,he
bueno,Well
fue,was
ser,be
hacer,do
son,are
todos,all
era,was
eres,are
vez,time
tienes,have
creo,believe
ella,she
he,He
ese,that
voy,go
puede,can
sabes,You know
hola,hello
sus,their
porque,because
dios,God
quién,who
nunca,never
dónde,where
quieres,want
casa,home
favor,favor
esa,that
dos,two
tan,so
señor,Sir
tiempo,time
verdad,TRUE
estaba,was
mejor,better
están,are
va,goes
hombre,man
usted,you
mucho,a lot
hace,does
entonces,so
siento,I feel
tenemos,have
puedes,can
ahí,there
ti,you
vida,life
ver,see
alguien,someone
sr,Mr
hasta,until
sin,without
mí,my
solo,only
años,years
sobre,about
decir,say
uno,one
siempre,always
oh,Oh
ir,go
cosas,things
también,also
antes,before
has,you have
ni,neither
mis,my
día,day
estar,be
estamos,we are
noche,evening
nadie,nobody
otra,other
quiere,wants
parece,seems
nosotros,us
poco,bit
padre,father
trabajo,job
gente,people
mira,look
vas,you go
sea,be
les,them
donde,where
mismo,same
hecho,made
ellos,they
dijo,said
pasa,happens
dinero,money
hijo,son
tal,such
otro,other
hablar,talk
seguro,sure
claro,clear
estas,are
lugar,place
mundo,world
amigo,friend
espera,wait
mierda,shit
han,they have
tus,your
sabe,knows
después,after
momento,moment
desde,from
fuera,out
cosa,stuff
tipo,guy
mañana,tomorrow
podemos,can
dije,said
gran,great
necesito,need
estado,state
podría,could
acuerdo,agreement
papá,dad
tener,have
dice,says
mío,mine
crees,You believe
buena,good
gusta,like
nuestro,our
nuevo,new
será,be
haciendo,doing
días,days
nombre,name
buen,good
había,there was
ven,come
tres,three
menos,less
debe,has to
tenía,had
mal,evil
conmigo,with me
madre,mother
hoy,today
quien,who
sido,been
mamá,mother
tienen,have
luego,then
todas,all
allí,over there
toda,all
hora,hour
mujer,women
visto,seen
haces,you do
importa,It matters
contigo,with you
ve,go
tarde,late
oye,hey
parte,part
haber,to have
hombres,men
problema,problem
mas,further
saber,know
quería,wanted to
aún,still
veces,times
nuestra,our
hacerlo,do it
cada,each
hizo,did
veo,I see
tanto,so much
razón,reason
ustedes,you
idea,idea
esos,those
van,go
quizá,Maybe
debo,I must
alguna,some
cierto,TRUE
ud,You
muerto,dead
unos,some
estos,these
salir,go out
policía,police
realmente,really
demasiado,too much
familia,family
pueden,they can
cabeza,head
hemos,we have
amigos,friends
chica,girl
cariño,dear
lado,side
allá,there
entre,between
minutos,minutes
digo,say
algún,some
serio,Serious
cuidado,careful
pasó,passed
buenas,hello good
somos,are
amor,love
puerta,door
ves,you see
vaya,Oh
ah,Ah
suerte,luck
eh,Hey
rápido,fast
cuenta,account
quizás,maybe
esas,those
pues,well
pasado,past
pensé,I thought
todavía,still
hermano,brother
debes,you must
casi,almost
forma,shape
aqui,here
chico,boy
ok,okay
dicho,saying
nueva,new
sabía,knew
muchas,many
dentro,inside
hice,I did
contra,against
auto,car
camino,path
ayuda,aid
primera,first
hacia,toward
vi,saw
miedo,fear
adiós,bye
primero,first
debería,ought
poder,can
niños,children
sería,I would be
historia,history
hey,Hey
mientras,while
ciudad,city
dijiste,said
espero,wait
cuánto,how much
esposa,wife
pronto,soon
chicos,guys
cualquier,any
viejo,old
debemos,must
deja,leaves
año,year
muerte,death
hablando,talking
manos,hands
da,gives
loco,crazy
problemas,issues
mano,hand
guerra,war
semana,week
pasar,pass
vale,OK
cuál,which
viene,comes
volver,return
toma,take
caso,case
agua,water
haré,I will do
vete,go away
entiendo,I understand
horas,hours
personas,people
capitán,captain
adelante,forward
niño,child
listo,ready
noches,nights
buenos,good
iba,I was going
juntos,together
dame,give to me
único,only
déjame,let me
cerca,near
otros,others
sigue,go on
grande,big
arriba,above
jefe,boss
habla,speaks
supongo,i guess
manera,manner
quieren,They want
feliz,happy
significa,means
sangre,blood
fin,end
bajo,low
llama,calls
venir,come
morir,die
importante,important
hiciste,did
ojos,eyes
escucha,listen
entrar,get in
ningún,none
corazón,heart
diablos,Devils
necesitamos,need
atrás,back
durante,during
dices,You say
nuestros,our
persona,person
abajo,below
dr,Dr.
hija,daughter
dejar,leave
necesita,needs
llegar,arrive
hago,do
señora,lady
haya,is
suficiente,enough
doctor,doctor
gustaría,would like
tierra,land
cara,expensive
siquiera,even
genial,brilliant
cree,Believe
supuesto,supposed
tomar,take
equipo,equipment
justo,fair
juego,game
ninguna,none
matar,kill
cinco,five
dicen,They say
amo,love
cuándo,when
pequeño,little
algunos,some
conozco,know
clase,class
maldito,damned
unas,nails
muchos,many
hubiera,had
segundo,second
aunque,although
pueda,I can
dime,tell me
igual,equal
comida,meal
ay,Oh
cuerpo,body
encontrar,find
fuerte,strong
vuelta,lap
venga,come on
creer,believe
realidad,reality
saben,They know
puta,bitch
deberías,you should
pregunta,ask
fui,I was
cuatro,four
sra,mrs
primer,first
trabajar,work
e,and
hagas,you do
alto,high
maldita,damned
comer,eat
número,number
dar,give
necesitas,you need
oportunidad,chance
punto,spot
misma,same
última,last
afuera,outside
mujeres,women
pensar,think
fueron,were
difícil,difficult
vivir,live
paso,passed
malo,bad
estabas,You were
vivo,alive
haga,make
queda,is left over
hijos,children
mayor,elderly
fiesta,party
hacen,do
medio,half
algunas,some
basta,Enough
arma,weapon
vino,came
meses,months
cuarto,room
éste,this
escuela,school
esté,this
dólares,Dollars
tío,uncle
posible,possible
tuve,I had
fácil,easy
preocupes,worry
luz,light
eran,were
carajo,fuck
final,final
lista,list
trata,treats
armas,weapons
hermana,sister
exactamente,exactly
chicas,girls
podía,could
bastante,quite
seguridad,security
pasando,going
esperando,expecting
acá,here
teléfono,phone
perro,dog
fuego,fire
murió,died
tampoco,neither
sola,alone
estuvo,was
verte,to see you
iré,I will go
tenido,had
culpa,blame
veras,you will see
adónde,where to
buscando,searching
cuanto,how much
padres,parents
paz,peace
demonios,demons
estará,will be
cual,which
perdón,sorry
asi,So
jugar,play
pensando,thinking
esperar,wait
sabemos,we know
recuerdo,memory
par,pair
joven,young
seguir,continue
pueblo,town
tenga,have
caballeros,gentlemen
idiota,moron
dio,gave
minuto,minute
bebé,baby
única,only
lejos,far
nuestras,ours
plan,plan
pienso,I think
sentido,sense
dormir,sleep
digas,you say
palabra,word
correcto,correct
control,control
vemos,we see
entiendes,you understand
país,country
seis,six
último,last
ésta,this
diga,Say
podrías,could you
pequeña,small
cállate,be quiet
trato,deal
rey,king
sucede,happens
muchachos,boys
jamás,never
cama,bed
srta,Ms
ayudar,help
acerca,about
di,gave
cambio,change
falta,lack
hospital,hospital
lleva,carry
presidente,president
mil,thousand
gusto,taste
conoces,you know
diciendo,saying
os,you
ido,gone
general,general
extraño,strange
semanas,weeks
coche,car
peor,worse
mucha,a lot
disculpe,excuse me
diré,I will say
anoche,last night
perder,lose
vámonos,let's go
nave,ship
cielo,darling
habrá,there will be
orden,order
segura,safe
querida,Dear
niña,little girl
increíble,incredible
además,besides
deben,They must
libro,book
calle,street
café,coffee
piensas,You think
hacemos,we make
especial,special
queremos,we want
irme,Go
perfecto,perfect
buscar,look for
odio,hate
piensa,think
oficina,office
hablas,speak
libre,free
agente,agent
york,York
llamar,call
mala,bad
detrás,behind
viste,dresses
dile,tell him
grandes,big
recuerdas,remember
real,real
estaban,were
mía,mine
frente,forehead
perdido,lost
llamo,called
muertos,dead
millones,millions
asesino,killer
sueño,dream
quisiera,I'd like
habría,there would be
hará,will do
viaje,journey
probablemente,probably
resto,rest
estaré,I will be
maldición,curse
lamento,lament
muchacho,young guy
avión,plane
ropa,clothes
fuerza,force
llamado,called
oído,ear
dado,given
encima,on
negro,black
usar,wear
información,information
uds,You
preguntas,questions
tuvo,had
secreto,secret
vuelve,comes back
miren,Look
quieras,You want
haría,would do
acaba,just
otras,others
incluso,even
sientes,you feel
deberíamos,we should
haz,beam
decirte,tell you
boca,mouth
dolor,pain
baño,bathroom
adentro,inside
profesor,teacher
habitación,room
daño,damage
tuyo,yours
seas,You are
noticias,news
demás,the rest
querido,darling
duro,hard
poner,put
prueba,proof
mire,Look
tonto,silly
campo,field
siendo,being
diez,ten
ése,that
tranquilo,don't worry
asunto,affair
acabó,just
quédate,stay
derecho,right
placer,pleasure
recuerda,remember
estuve,I have been
tratando,treating
ejército,army
futuro,future
llevar,carry
compañía,company
venido,I come
listos,Ready
haremos,will
sitio,place
verlo,see him
puesto,position
atención,attention
sino,but
cambiar,change
error,mistake
blanco,white
raro,queer
palabras,words
llegó,arrive
sal,salt
pase,happens
mente,mind
sistema,system
película,movie
anda,walk
ello,it
negocio,business
novia,bride
permiso,permission
creí,I believed
suena,sounds
ocurre,occurs
oficial,official
espere,wait
aire,air
mató,killed
regresar,go back
vio,saw
hazlo,do it
trasero,rear
grupo,cluster
entendido,understood
señorita,Miss
música,music
perra,bitch
conoce,known
empezar,begin
siente,Feel
acabo,just
estúpido,idiot
diferente,different
traje,suit
modo,mode
encontré,I found
mensaje,message
llamada,call
navidad,Christmas
eras,ages
pena,grief
largo,long
entra,enters
piso,floor
foto,photo
dijeron,They said
médico,doctor
accidente,accident
fuiste,you were
imposible,impossible
podríamos,we could
línea,line
propia,own
barco,ship
ganar,gain
normal,normal
segundos,seconds
vive,lives
mitad,half
quiera,want
tras,after
decirle,Tell him
lindo,nice
funciona,works
programa,program
vine,came
abre,opens
sean,Sean
pagar,pay
fotos,photos
centro,center
supone,It supposes
basura,trash
situación,situation
mejores,top
vienen,they come
encanta,loves
marido,husband
personal,staff
maestro,teacher
hambre,hunger
ataque,stroke
culo,ass
dale,Go ahead
pie,foot
conseguir,get
trabajando,working
gracioso,funny
dejó,let
pudo,could
derecha,right
izquierda,left
próxima,next
pobre,poor
respuesta,answer
tipos,guys
sentir,feel
tenías,You had
pude,could
darle,give him
voz,voice
amiga,friend
gustan,like
vista,view
salvo,except
loca,crazy
hotel,hotel
hicieron,they made
ten,Ten
temo,I fear
señal,sign
pelo,hair
llevo,he took
ayer,yesterday
das,you give
nena,chick
servicio,service
tren,train
bonito,pretty
mes,month
tendrá,will have
tendrás,you will have
edad,age
ellas,they
hermosa,beautiful
honor,honor
simplemente,simply
llamas,calls
tengas,Have
corre,runs
baja,low
sol,sun
siéntate,Sit down
dan,give
humano,human
divertido,fun
sexo,sex
vuelto,turned
peligro,danger
mesa,table
siguiente,following
hablo,speak
disculpa,sorry
decirme,Tell me
caja,box
negocios,business
misión,mission
silencio,silence
sale,comes out
llegado,arrived
estaría,It would
regreso,return
media,half
estan,are
propio,own
oro,gold
enseguida,right away
linda,beautiful
prometo,I promise
esposo,husband
norte,north
hubo,was
juro,I swear
muerta,dead
interesante,interesting
pensaba,thought
busca,seeks
terminar,finish
tendré,I will have
completamente,completely
cita,appointment
siete,seven
cumpleaños,birthday
abogado,lawyer
alrededor,around
cerebro,brain
porqué,because
llave,key
santo,holy
hermoso,beautiful
necesario,necessary
edificio,building
irnos,Go
aun,still
tendremos,we will have
vayas,go
doy,give
trae,Bring
salió,he left
ley,law
ahi,there
verdadero,TRUE
pelea,fight
banco,bank
terrible,terrible
calma,calm
cena,dinner
daré,I will give
gobierno,government
comprar,buy
creen,They believe
sargento,sergeant
destino,destination
existe,exists
hacía,toward
novio,boyfriend
sala,hall
través,through
regalo,gift
iglesia,church
decía,He said
cualquiera,any
excelente,excellent
esperen,Wait
deseo,desire
alma,soul
diablo,Devil
deje,leave
cuántos,how many
espada,sword
estábamos,We were
carne,meat
maravilloso,marvelous
vidas,lives
sucedió,happened
oí,I heard
peligroso,dangerous
dirección,address
libertad,freedom
jesús,Jesus
ocurrió,occurred
veré,I will see
sueños,dreams
pudiera,could
detective,detective
sorpresa,surprise
tuya,yours
pies,feet
club,club
terminado,finished
infierno,hell
creía,I believed
luna,moon
salvar,save
carta,letter
estés,be
cielos,Heavens
teniente,lieutenant
encuentra,finds
veamos,let's see
quise,I wanted
escúchame,listen to me
necesitan,They need
ambos,both
decisión,decision
enemigo,enemy
hicimos,we did
dulce,sweet
pruebas,evidence
querías,You wanted
abuelo,grandfather
totalmente,completely
mirando,looking
vayan,go
carrera,career